,PSMx,PSMy,PSMz,ECMx,ECMy,ECMz
169,-0.028550587875399998,-0.00950286679249,-0.13202005925899998,0.00025656330534099995,6.94042529014e-05,-0.00142916238985
170,-0.027454552061,-0.0100790023404,-0.130196106206,0.000275263556867,6.39918563905e-05,-0.00144049455045
171,-0.025946168001099997,-0.0112655833973,-0.128271380855,0.000292294668558,6.83358892527e-05,-0.00144788070251
172,-0.024212325742999998,-0.0125481080235,-0.126532419379,0.00031371997111,7.82164684385e-05,-0.0014758147736400001
173,-0.021841216702200003,-0.0129144029526,-0.12553883125,0.000329835038362,8.57488750849e-05,-0.00147920928816
174,-0.018883119842,-0.0125188276147,-0.124827681728,0.000345512245246,9.39648505867e-05,-0.00148615029435
175,-0.0163103083217,-0.012313166259600002,-0.123792369736,0.000355014769057,0.000104403220617,-0.00147952950162
176,-0.014259072440799998,-0.0120673578137,-0.12239328843599999,0.00037094668579500003,0.000119086949267,-0.0015077294699999998
177,-0.011601501606600001,-0.0118180344512,-0.12051391696799998,0.000379835161487,0.000132271244047,-0.00150811082323
178,-0.0081929067081,-0.0113838287687,-0.118949151724,0.00039842968075800005,0.00014902585048899998,-0.0015425333482
179,-0.00392396586481,-0.010832920204200002,-0.117940190281,0.000408162093625,0.00016466963575900002,-0.0015383925576199998
180,0.00017398858245200002,-0.00997990268285,-0.117315697094,0.000420133533561,0.00018846951946200003,-0.001539884343
181,0.0038975882325999996,-0.008345909655329999,-0.117580282996,0.000437492959877,0.00022077639670500001,-0.00156445025827
182,0.00751775310808,-0.00585215064529,-0.119005725044,0.00046328716052599993,0.00025473697107,-0.00163085534967
183,0.0097150279351,-0.00373048974923,-0.121159037219,0.00046756195186300006,0.00027925936807099997,-0.0016406732444900001
184,0.010680725570399998,-0.00198291450125,-0.12354478227099999,0.000464839796737,0.000290884976165,-0.00164319224353
185,0.011596444816399999,0.000405211237054,-0.126014112102,0.00047401884083599993,0.00033431528590099994,-0.0017305153794100001
186,0.0132366824752,0.0032598343959000004,-0.127968593556,0.00045413014512300006,0.00035084091539199993,-0.0017363385757900001
187,0.014741057232600002,0.005535656876930001,-0.12994613884,0.000430825286424,0.0003691884709719999,-0.00174598495245
188,0.017077735976,0.007770345792010001,-0.132921250984,0.000410823806416,0.00039077852379100004,-0.0017648749392800002
189,0.0197526795736,0.011130487381,-0.13628001822799998,0.000406711282002,0.000421339468858,-0.0018451703174500002
190,0.0207011819112,0.013889650318200001,-0.138976787216,0.000392721933852,0.000448452404329,-0.0018755672236500003
191,0.021116136787400003,0.015542351055,-0.140945908821,0.000370759336491,0.000488041372315,-0.00189643984505
192,0.021797229053599997,0.016286605061600002,-0.142010425706,0.00034747459436900005,0.000503303717181,-0.0018968599650799997
193,0.0226283723893,0.0166291121566,-0.143464318403,0.00032944475506,0.000507113310659,-0.0019028094005899999
194,0.023858711616000002,0.017113708084200003,-0.145339627762,0.00031855059844,0.0005049011291840001,-0.0019052510956400002
195,0.0256456368839,0.017922045681900003,-0.146631986356,0.000312293792321,0.000505601739688,-0.0019098420811900002
196,0.026436225357400003,0.019030967782000002,-0.147850275626,0.00030757343962700006,0.000517055440015,-0.00190754018521
197,0.0271486142483,0.020872753418400003,-0.149230839073,0.000304577344691,0.000531305990951,-0.0019041018596900002
198,0.028295429445400002,0.022166823359,-0.150745098184,0.00029808966653600003,0.0005455806632819999,-0.00190484725103
199,0.028649255668200004,0.0233849670824,-0.152206657972,0.000294343383396,0.000560809178084,-0.0019235795695699998
200,0.0288058121824,0.0247176856209,-0.153842654144,0.000300451769781,0.00059443708419,-0.0020143472419199998
201,0.0283103605125,0.0254791284526,-0.15544736446,0.00029090292370899997,0.000599575803127,-0.00201798783141
202,0.0263125521459,0.0257936319422,-0.156655347706,0.000279141909491,0.000599936087868,-0.0020195412913
203,0.0243677383892,0.025980038020900004,-0.15731192611300002,0.00026672103814400004,0.000591724977513,-0.00202363830297
204,0.022872706042299996,0.0256475814355,-0.157114053351,0.000255364827872,0.0005745642637349999,-0.00203377722207
205,0.020997079221299998,0.0247203329195,-0.156524672808,0.00024778264692700003,0.000562816291035,-0.00203799574581
206,0.0176779614423,0.0228326001779,-0.155797226109,0.000244302993929,0.000551991844428,-0.00204137358863
207,0.014486037951799998,0.0209092770112,-0.155136879901,0.000245342529254,0.000534538362544,-0.00204960506233
208,0.0121687366041,0.0200982062775,-0.154396686659,0.000251826879937,0.000514229462816,-0.0020762496409000002
209,0.00994867299308,0.0195653819085,-0.154415202291,0.00026442157883900004,0.000489372704742,-0.0021360983466700003
210,0.00736149271741,0.0185873895818,-0.154590975513,0.000271472296994,0.00047224857660300003,-0.0021574908790100004
211,0.00353299530941,0.017537039772,-0.15375877867999999,0.000273819827218,0.00046165434453800005,-0.00215948623231
212,-0.0005446394784319999,0.0170434766625,-0.152352145681,0.00027570436694399997,0.000447844248009,-0.00216582881412
213,-0.00345971695171,0.017245851452500002,-0.151673925373,0.000276356848909,0.00042535752008999994,-0.00217027410542
214,-0.00553898093469,0.018377075145099998,-0.152386722758,0.000276018053933,0.000393869906699,-0.00217625190431
215,-0.007585050956939999,0.0204842809459,-0.153781760644,0.000269975953649,0.000366474305556,-0.00218178857553
216,-0.009548119827549998,0.0213670008924,-0.154783805227,0.000260900455089,0.000361584951447,-0.00219099832237
217,-0.0122590110892,0.0207393675296,-0.15465860404,0.000245149083903,0.00036624869961800004,-0.0021920424699099997
218,-0.015231860735,0.019127342182099997,-0.15282503022299998,0.00022908787621900002,0.00037124272497400003,-0.00219293956992
219,-0.0172448931421,0.0175562988827,-0.150374454131,0.000214453551791,0.000343145379455,-0.00219898778893
220,-0.0185631073919,0.0168330139735,-0.148989185043,0.00021129245018000002,0.000305717345757,-0.00220480810462
221,-0.021043317199400002,0.016034452317700003,-0.148101777758,0.00021606214315200004,0.000274506006251,-0.00220844967704
222,-0.0247624348479,0.015406965161,-0.147392845627,0.000224751481723,0.000257491350317,-0.0022096314962399997
223,-0.027814199388599997,0.0151301905243,-0.146715396694,0.000231698913839,0.000233011088117,-0.00221163012715
224,-0.029634200168499998,0.0149423038658,-0.145740313439,0.000235291498762,0.00020606006926499997,-0.00221031751045
225,-0.0320233931436,0.0140747458084,-0.144020354679,0.000237066968537,0.00018739306153599998,-0.00220818362312
